Decision analysis;Category;Domain;Item
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Railway;Acceptance
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Railway;Assistant relevance
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Railway;Comprehensibility 
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Railway;Situation awareness
Evaluation (KPIs);Robustness;Air Traffic;AI prediction robustness
Evaluation (KPIs);Robustness;Electricity;Technical robustness to real-world imperfections
Evaluation (KPIs);Robustness;Electricity;Resilience to real-world imperfections
Evaluation (KPIs);Robustness;Electricity;Transferability across fidelity levels
Evaluation (KPIs);Robustness;Electricity;Generalization to different grids
Evaluation (KPIs);Technical quality of AI-based solutions;Air Traffic;Reduction in Delays
Evaluation (KPIs);Technical quality of AI-based solutions;Electricity;Assistant self-awareness
Evaluation (KPIs);Technical quality of AI-based solutions;Electricity;Total operational cost
Evaluation (KPIs);Technical quality of AI-based solutions;Electricity;Network utilization
Evaluation (KPIs);Technical quality of AI-based solutions;Electricity;Topological action complexity
Evaluation (KPIs);Technical quality of AI-based solutions;Electricity;Assistant alert accuracy
Evaluation (KPIs);Technical quality of AI-based solutions;Electricity;Action recommendation selectivity
Evaluation (KPIs);Technical quality of AI-based solutions;Electricity;Carbon intensity
Evaluation (KPIs);Technical quality of AI-based solutions;Railway;Response time
Evaluation (KPIs);Technical quality of AI-based solutions;Railway;Punctuality
Evaluation (KPIs);Technical quality of AI-based solutions;Railway;Delay Reduction Efficiency
Evaluation (KPIs);Technical quality of AI-based solutions;Railway;Proactiveness
Evaluation (KPIs);Trustworthiness;Air Traffic;System Reliability
Evaluation (KPIs);Trustworthiness;Air Traffic;Trust in AI solutions score
Evaluation (KPIs);Trustworthiness;Electricity;Trust towards the AI System
Evaluation (KPIs);Trustworthiness;Electricity;Human motivation
Evaluation (KPIs);Trustworthiness;Railway;Trust towards the AI System
Evaluation (KPIs);Trustworthiness;Railway;Human motivation
Impacts;Lasting Effects;Air Traffic;Bottleneck issues
Impacts;Lasting Effects;Air Traffic;Punctuality
Impacts;Lasting Effects;Electricity;Transit flows return in their acceptable limits
Impacts;Lasting Effects;Electricity;Congestion on other parts of the neighboring grid
Impacts;Lasting Effects;Railway;Operational Efficiency
Impacts;Lasting Effects;Railway;Safety Enhancements
Impacts;Lasting Effects;Railway;Infrastructure Resilience
Impacts;Lasting Effects;Railway;Customer Satisfaction
Impacts;Recovery time;Air Traffic;Depends on the nature of the disruption
Impacts;Recovery time;Electricity;Actions can be reverted in a couple of hours
Impacts;Recovery time;Railway;Can vary significantly, depends on several factors
Impacts;Lasting Effects;Electricity;Remedial action unavailable for other issues
Impacts;Lasting Effects;Electricity;Damage to grid elements
Impacts;Lasting Effects;Electricity;Inability to perform planned outage 
Impacts;Lasting Effects;Electricity;Transit flows exceeding admissible limits 
